"Brand","Model","KM Driven","Km/L","Range (Electric)","Gear","Motor Specs","Price","GPS","Trailer Hitch","4WD","Parkingsensor","Cruise Control","Antispin","ESP","El-Sæder","Leather Interior","Glass Roof","Headup Display","Isofix","Klimaanlæg","Regnsensor","Soltag","Sports Package","Seatwarmer","Xenon Lights","Non-Smoker","One-Owner","Service OK","Nysynet","Demo Car","Partly Leather Interior","CVR/Engros","Full Leather","Adaptive Cruise Control","Link","Year","Fuel_Type","Horsepower"
"Mercedes","EQE350",30000,NA,668,"Automatgear","El

214 kW

292 HK",599800,"Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","Yes","https://www.autouncle.dk/da/d/4790704-brugt-mercedes-eqe350-eqe350-amg-line",2020,"El",292
"Mercedes","EQS450+",11000,NA,743,"Automatgear","El

244 kW

333 HK",919900,"Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4612765-brugt-mercedes-eqs450-eqs450-electric-art",2020,"El",333
"Mercedes","EQA250",6600,17.7,429,"Automatgear","El

139 kW

190 HK",379900,"Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","https://www.autouncle.dk/da/d/4734566-brugt-mercedes-eqa250-amg-line-5d",2022,"El",190
"Mercedes","EQA250+",7500,15.3,531,"Automatgear","El

139 kW

190 HK",419900,"Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No","No","Yes","No","Yes","https://www.autouncle.dk/da/d/4817994-brugt-mercedes-eqa250-eqa250-5d",2023,"El",190
"Mercedes","EQA250",1600,15.4,496,"Automatgear","El

139 kW

190 HK",399990,"Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","https://www.autouncle.dk/da/d/4827137-ny-mercedes-eqa250-el-amg-line-190hk-5d-aut",2020,"El",190
"Mercedes","EQC400",78000,22.3,411,"Automatgear","El

300 kW

408 HK",439900,"Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No","https://www.autouncle.dk/da/d/4816978-brugt-mercedes-eqc400-amg-line-4matic",2020,"El",408
"Mercedes","EQA250",26000,17.7,424,"Automatgear","El

139 kW

190 HK",359900,"Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","https://www.autouncle.dk/da/d/4658080-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQA250",5000,17.7,429,"Automatgear","El

139 kW

190 HK",389900,"Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","https://www.autouncle.dk/da/d/4658867-brugt-mercedes-eqa250-amg-line",2021,"El",190
"Mercedes","EQA250",6000,15.4,496,"Automatgear","El

139 kW

190 HK",434900,"No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","https://www.autouncle.dk/da/d/4702732-brugt-mercedes-eqa250-amg-line",2020,"El",190
"Mercedes","EQA250",5000,15.4,496,"Automatgear","El

139 kW

190 HK",434900,"No","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","https://www.autouncle.dk/da/d/4684466-brugt-mercedes-eqa250-amg-line",2020,"El",190
