KM Driven,Km/L,Range (Electric),Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-SÃ¦der,Leather Interior,Glass Roof,Headup Display,Isofix,KlimaanlÃ¦g,KÃ¸recomputer,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Brand,Model,Horsepower,Segment,Fuel_Type_Benzin,Fuel_Type_Diesel,Fuel_Type_El,Fuel_Type_Hybrid
43000,50.0,437.0,Automatgear,329800,1,0,1,1,1,0,1,0,1,0,0,1,1,No,1,0,0,0,0,0,1,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4816964-brugt-audi-e-tron-prestige-quattro,2021.0,Audi,e-tron,313.0,Premium,False,False,False,True
173000,24.0,437.0,Automatgear,219500,1,0,0,1,1,1,1,1,1,0,0,1,1,No,1,0,0,1,0,1,0,0,0,1,1,0,0,0,https://www.autouncle.dk/da/d/4820589-brugt-audi-a4-2-0-tdi-190-sport-avant-s-tr,2018.0,Audi,A4,190.0,Mid-Range,False,True,False,False
110000,20.0,437.0,Automatgear,209800,1,0,1,0,1,0,0,0,0,0,0,1,1,No,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4285410-brugt-audi-q3-tdi-150-quattro-s-tr,2015.0,Audi,Q3,150.0,Mid-Range,False,True,False,False
352000,15.0,437.0,Manuelt gear,50000,0,0,0,0,1,1,1,0,0,0,0,1,1,No,1,0,0,0,0,0,0,0,0,1,0,0,1,0,https://www.autouncle.dk/da/d/4833441-brugt-audi-a4-2-0-tfsi-180-avant,2009.0,Audi,A4,180.0,Economy,True,False,False,False
90000,25.0,437.0,Manuelt gear,198000,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4710297-brugt-audi-a4-2-0-2-0-tfsi-190-hk-4-dors,2016.0,Audi,A4,190.0,Mid-Range,True,False,False,False
63000,18.0,437.0,Automatgear,319900,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4523732-brugt-audi-a5-sportback-20-tfsi-sport-s-tronic-190hk-5d-7g-aut,2017.0,Audi,A5,190.0,Premium,True,False,False,False
72000,42.0,437.0,Automatgear,299900,1,0,0,1,0,1,1,1,0,0,0,1,1,No,1,0,1,0,1,1,1,1,1,1,1,1,0,1,https://www.autouncle.dk/da/d/4820691-brugt-audi-a3-sportback-e-tron-45-tfsi-e-s-line-sportback-s-tr,2020.0,Audi,A3,245.0,Premium,False,False,False,True
227000,22.0,437.0,Automatgear,234900,1,1,0,1,1,1,1,1,0,0,0,1,1,No,1,0,0,1,0,1,1,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4680599-brugt-audi-a6-3-0-tdi-218-avant-s-tr,2017.0,Audi,A6,218.0,Mid-Range,False,True,False,False
136000,20.0,437.0,Automatgear,194900,0,1,0,1,1,1,1,1,0,0,0,1,1,No,1,0,0,1,0,1,1,1,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4766189-brugt-audi-a3-1-5-tfsi-150-sport-s-tr,2017.0,Audi,A3,150.0,Mid-Range,True,False,False,False
249000,17.0,437.0,Automatgear,79900,0,0,0,0,1,0,0,1,1,0,0,1,1,No,0,1,0,0,0,0,0,0,0,0,0,0,1,0,https://www.autouncle.dk/da/d/4814273-brugt-audi-a4-2-0-tdi-143-avant-multitr,2010.0,Audi,A4,143.0,Economy,False,True,False,False
155000,24.0,437.0,Automatgear,234900,1,0,0,1,1,0,0,0,0,0,0,1,1,No,1,0,0,1,0,1,1,0,1,1,1,0,0,0,https://www.autouncle.dk/da/d/4559186-brugt-audi-a4-tdi-190-avant-s-tr,2017.0,Audi,A4,190.0,Mid-Range,False,True,False,False
73000,22.0,437.0,Automatgear,199900,1,0,0,1,0,1,1,1,0,0,0,1,1,No,1,0,0,1,0,0,1,0,1,1,0,0,0,1,https://www.autouncle.dk/da/d/4549957-brugt-audi-a3-sportback-1-0-tfsi-116-s-tr,2018.0,Audi,A3,116.0,Mid-Range,True,False,False,False
206000,15.0,437.0,Manuelt gear,89900,0,0,0,0,1,1,1,0,0,0,0,1,1,No,0,0,0,1,0,1,1,0,0,0,0,1,0,0,https://www.autouncle.dk/da/d/4792051-brugt-audi-a4-tfsi-180-avant,2009.0,Audi,A4,180.0,Economy,True,False,False,False
54000,49.0,437.0,Automatgear,439895,1,0,1,1,0,1,1,0,1,0,0,1,1,No,1,0,0,0,0,0,1,0,0,1,1,0,0,1,https://www.autouncle.dk/da/d/4790691-brugt-audi-e-tron-prestige-quattro,2020.0,Audi,e-tron,408.0,Premium,False,False,False,True
276000,19.0,437.0,Automatgear,159800,1,0,0,0,1,0,0,0,0,0,0,0,0,No,0,0,0,1,0,1,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4788830-brugt-audi-a6-tdi-204-s-line-avant-multitr,2013.0,Audi,A6,204.0,Mid-Range,False,True,False,False
166000,20.0,437.0,Automatgear,199500,1,0,0,1,0,1,1,1,0,0,0,1,1,No,1,0,0,1,0,0,0,0,1,1,1,0,0,1,https://www.autouncle.dk/da/d/4814288-brugt-audi-a3-1-5-tfsi-150-s-line-s-tr,2018.0,Audi,A3,150.0,Mid-Range,True,False,False,False
106000,25.0,437.0,Manuelt gear,149900,1,0,0,0,1,1,1,1,0,0,0,1,1,No,1,0,0,1,0,0,1,0,1,1,0,0,0,0,https://www.autouncle.dk/da/d/4674413-brugt-audi-a3-sportback-1-6-tdi-110-ambition,2016.0,Audi,A3,110.0,Economy,False,True,False,False
