Brand,Model,KM Driven,Km/L,Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-Sæder,Leather Interior,Glass Roof,Headup Display,Isofix,Klimaanlæg,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Fuel_Type,Horsepower
Toyota,Yaris,75000.0,21.0,Manuelt gear,155000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4675837-brugt-toyota-yaris-1-5-vvt-ie,2019,Benzin,113.0
Toyota,Proace,64000.0,23.0,Manuelt gear,144900.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4514896-brugt-toyota-proace-medium-1-5-d-120hk-van-man-2019,2020,Diesel,120.0
Toyota,RAV4,155970.0,20.0,Automatgear,215000.0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4480074-brugt-toyota-rav4-hybrid-2-5-hybrid-4x2,2020,Hybrid,153.0
Toyota,Avensis,234000.0,12.0,Manuelt gear,20000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4394714-brugt-toyota-avensis-2-0-lb-d-4,2020,Benzin,147.0
Toyota,Avensis,118000.0,14.0,Manuelt gear,40800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4365860-brugt-toyota-avensis-1-8-1-8-sd-man,2006,Benzin,128.0
Toyota,Land,520000.0,9.0,Automatgear,119000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,https://www.autouncle.dk/da/d/4158028-brugt-toyota-land-cruiser-3-0-3-0d-lux-i-aut-4x4-diesel-5dors,2007,Diesel,166.0
Toyota,Corolla,174000.0,21.0,Manuelt gear,24900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/3962952-brugt-toyota-corolla-verso-2-2,2009,Diesel,135.0
Toyota,Yaris,415000.0,21.0,Manuelt gear,9999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/3889341-brugt-toyota-yaris-1-4,2007,Diesel,86.0
Toyota,Corolla,0.0,21.0,Manuelt gear,39900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/3467885-brugt-toyota-corolla-sedan,1992,Benzin,134.94513715710724
Toyota,Avensis,273000.0,14.0,Manuelt gear,25900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4833053-brugt-toyota-avensis-1-8-1-8-stw-man,2007,Benzin,128.0
Toyota,Yaris,114040.0,18.0,Manuelt gear,79900.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4820843-brugt-toyota-yaris-1-3-vvt-i,2013,Benzin,98.0
Toyota,Yaris,146000.0,18.0,Manuelt gear,17000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4819872-brugt-toyota-yaris,2020,Benzin,86.0
Toyota,Avensis,142000.0,21.0,Automatgear,66000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4816110-brugt-toyota-avensis-1-8-aut,2009,Benzin,147.0
